CreditScore,Age,Balance,Salary,Exited
791,51,105178.99,72582.06,1
644,60,90095,141741.73,1
600,28,148851.38,155586.64,0
819,45,144322.76,67777.98,1
520,35,0,164209.13,0
452,39,118463.22,65844.18,1
690,66,0,94802.01,1
605,25,143001.45,148133.52,1
558,43,53316.69,141654.84,1
714,45,185825.58,197600.01,1
672,51,7274.57,52780.59,0
599,41,0,135840.4,1
535,43,0,125839.56,1
729,36,141409.34,183868.71,0
709,43,0,39708.81,0
641,37,174043.33,152841.65,1
816,46,142280.35,117971.04,1
554,36,199264.66,62186.52,1
513,44,184021.27,100142.63,0
588,40,0,73417.55,1
646,51,122556.24,120069.55,1
672,39,34162.35,178910.12,1
628,22,0,118167.95,1
682,53,105355.77,130027.26,0
537,31,0,108562.09,1
780,33,128913.26,19721.45,1
643,34,72757.95,54243.13,0
751,54,0,103480.33,1
681,19,124563.57,68944.7,1
691,71,72120.87,44535.08,1
701,51,183917.47,105785.24,0
690,42,6962.62,71333.86,0
708,39,146622.13,59040.45,0
770,43,0,98157.23,0
668,45,44427.91,35324.01,1
714,46,0,186271.69,0
642,46,23764.08,174863.4,0
780,41,156794.8,144447.91,0
589,38,138082.39,30180.63,1
812,38,102434.02,157416.68,1
646,38,0,163511.89,0
521,51,224247.09,155875.28,1
662,46,0,31653.52,0
589,18,0,132342.51,1
726,47,0,168521.71,1
591,42,144702.15,119697.15,1
610,40,0,132817.4,0
480,36,0,97089.06,1
609,51,0,110454.39,1
432,49,0,16531.6,0
507,32,187715.12,131402.97,1
718,44,228347.33,25474.97,0
721,30,143458.62,92652.77,1
688,26,46015.5,65604.47,0
563,34,0,113631.31,0
646,49,50462.5,35349.1,0
650,50,62467.4,141412.25,0
546,45,0,161052.19,1
785,47,0,41037.35,1
729,45,0,29819.49,1
630,34,0,37647.94,0
652,44,154239.77,176654.24,0
669,48,21312.16,110355.96,1
466,48,0,98779.59,1
628,52,0,30275.25,1
589,47,130001.3,133415.64,0
560,44,0,174919.92,0
625,51,71537.82,167355.32,1
812,40,100677.9,128950.39,0
708,31,0,24302.96,1
599,38,0,31355.44,0
702,33,162695.33,19368.71,0
